DataSource,Commodity,Year,USprod_Production_kt,USprod_Sold_used_kt,Imports_kt,Exports_kt,Consump_Apparent_kt,Consump_Reported_kt,Price_Vacuum_dt,Price_Solar_dt,Price_Rock_dt,Price_Brine_dt,Employment_num,NIR_pct
MCS2025,Salt,2020,42600,39600,15800,1250,54200,44000,212,123,61.71,8.36,4000,27
MCS2025,Salt,2021,39300,39800,17700,1010,56400,47100,204,154,59.88,8.14,4000,30
MCS2025,Salt,2022,39400,40600,18300,886,58000,45300,218,129,56.86,9.11,4100,30
MCS2025,Salt,2023,42000,41000,15700,2260,54000,45000,220,140,56,9,4100,25
MCS2025,Salt,2024,40000,39000,14000,1900,51000,43000,230,140,56,10,4100,24
