DataSource,Commodity,Year,USprod_Feldspar_kt,Imports_Feldspar_kt,Imports_Nepheline_syenite_kt,Exports_Feldspar_kt,Exports_Nepheline_syenite_kt,Consump_Feldspar_kt,Consump_Nepheline_syenite_kt,Price_Feldspar_dt,Price_Nepheline_syenite_dt,Employment_num,NIR_Feldspar_pct,NIR_Nepheline_syenite_pct
MCS2025,Feldspar and Nepheline Syenite,2020,480,43,503,3,13,520,489,104,163,220,9,>95
MCS2025,Feldspar and Nepheline Syenite,2021,420,169,529,4,15,590,514,103,164,180,30,>95
MCS2025,Feldspar and Nepheline Syenite,2022,430,276,484,3,18,703,466,104,183,150,39,>95
MCS2025,Feldspar and Nepheline Syenite,2023,450,68,440,7,13,510,427,104,195,160,12,>95
MCS2025,Feldspar and Nepheline Syenite,2024,450,220,470,7,8,670,460,110,200,170,33,>95
