DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_Apparent_kt,Consump_Reported_kt,Price_dt,Price_dst,Stocks_Producer_kt,Employment_num,NIR_pct
MCS2025,Soda Ash,2020,9990,98,5590,4490,4440,140.70,127.64,305,2400,E
MCS2025,Soda Ash,2021,11300,130,6840,4570,4640,133.37,120.99,278,2400,E
MCS2025,Soda Ash,2022,11300,61,6470,4760,4640,178.52,161.95,364,2400,E
MCS2025,Soda Ash,2023,10900,45,6650,4380,4460,211.48,191.85,251,2400,E
MCS2025,Soda Ash,2024,12000,10,7400,4600,4200,220,200,300,2400,E
