DataSource,Commodity,Year,USprod_Cement_kt,USprod_Clinker_kt,Shipments_kt,Imports_Hydraulic_kt,Imports_Clinker_kt,Exports_Hyraulic-plus-clinker_kt,Consump_kt,Price_Avg_dt,Stocks_Cement_kt,Employment_num,NIR_pct
MCS2025,Cement,2020,89300,78951,104580,15531,1204,884,105000,125,7180,12200,15
MCS2025,Cement,2021,91000,79616,108969,19937,1563,939,111000,127,6280,12300,19
MCS2025,Cement,2022,91200,79489,111092,24985,1021,904,114000,139,8020,12800,22
MCS2025,Cement,2023,90000,77000,110000,24986,921,889,110000,150,8500,13000,22
MCS2025,Cement,2024,86000,73000,110000,24000,820,900,110000,160,7500,13000,22
