{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Oil, crude, 42.6 MJ per kg;;42.6;kg;3EA28B62-6D54-4B7C-B9DC-2621EBEE43AA
Raw;(unspecified);Oil, crude, 42.7 MJ per kg;;42.7;kg;C1E41E99-8A74-46A7-B36D-42DC3328906B
Raw;(unspecified);Oil, crude, feedstock, 41 MJ per kg;;41;kg;C9AFAF34-8944-4699-8C7A-4A48992445DE
Raw;(unspecified);Oil, crude, feedstock, 42 MJ per kg;;42;kg;5782F964-98EC-4189-B31C-1ADB488EFB6D
Raw;(unspecified);Peat;;9.9;kg;FA729411-56AC-47E3-9B13-0E47E913817A
Raw;(unspecified);Uranium;007440-61-1;560000;kg;C6D3A570-5BF0-4A2F-B1DB-88F58417FE83
Raw;(unspecified);Uranium, 2291 GJ per kg;007440-61-1;2291000;kg;0A576D2A-BE57-4633-BEF1-DB21B9FB496D
Raw;(unspecified);Uranium, 451 GJ per kg;007440-61-1;451000;kg;EBAAD556-A534-4F35-8DBA-F6D235A97842
Raw;(unspecified);Uranium, 560 GJ per kg;007440-61-1;560000;kg;A0BB5FD9-F5E1-45E5-92E9-A57ED660ABA0
;;;;;;
Impact category;;;;;;
CLCC;kg Sb eq;;;;;
;;;;;;
Substances;;;;;;
Raw;(unspecified);Aluminium;007429-90-5;1.09E-09;kg;0CDDB90F-BD92-46DE-BBDF-B7244C502CEB
Raw;(unspecified);Antimony;007440-36-0;1.00E+00;kg;3663319E-1752-40A4-A2C2-92B5EA34A8E4
Raw;(unspecified);Arsenic;007440-38-2;2.97E-03;kg;57256A1B-501B-467F-97C3-40228C04EC53
Raw;(unspecified);Barium;007440-39-3;6.04E-06;kg;72791A7C-7339-412C-B11F-8BCC5EEE641B
Raw;(unspecified);Beryllium;007440-41-7;1.26E-05;kg;DE1E72F1-D0DF-4F60-A883-17C677CFBA84
Raw;(unspecified);Bismuth;007440-69-9;4.11E-02;kg;A43059E5-E175-4E5A-865D-AECD6CD72064
Raw;(unspecified);Boron;007440-42-8;4.27E-03;kg;262909CC-F015-429D-BAF3-49BBE6506FB2
Raw;(unspecified);Bromine;010097-32-2;4.39E-03;kg;5D0440C5-2681-4054-9921-8C234157F144
Raw;in water;Bromine;010097-32-2;0;kg;5D0440C5-2681-4054-9921-8C234157F144
