DataSource,Commodity,Year,USprod_kg,Imports_unwrought_kg,Imports_NH4ReO4_kg,Exports_kg,Consump_kg,Price_Metal_dkg,Price_NH4ReO4_dkg,Employment_num,NIR_pct
MCS2025,Rhenium,2020,8830,15900,9320,0,34000,1030,1090,Small,74
MCS2025,Rhenium,2021,9290,15900,6020,0,31200,977,866,Small,70
MCS2025,Rhenium,2022,8870,11900,8810,267,29400,1120,911,Small,70
MCS2025,Rhenium,2023,9410,10200,4890,2010,22500,1070,920,Small,58
MCS2025,Rhenium,2024,9500,13000,6900,2200,27000,1370,1270,Small,65
