DataSource,Commodity,Year,USprod_Mine_t,USprod_Refinery_t,USprod_Secondary_t,Imports_Ores_t,Imports_Primary_t,Imports_Seconday_t,Exports_Ores_t,Exports_Primary_t,Exports_Seconday_t,Consump_Reported_Primary_t,Consump_Reported_Secondary_t,Consump_Apparent_Primary_t,Consump_Apparent_Total_t,Price_dt,Price_dlb,Stocks_Consumer_t,Stocks_LME_t,NIR_ct
MCS2025,Nickel,2020,16700,W,111000,95,105000,31800,13400,11300,46300,96900,110000,94100,205000,13772,6.25,26900,1734,46
MCS2025,Nickel,2021,18400,W,100000,18,108000,34400,14900,11600,29200,92100,100000,97500,198000,18476,8.38,25100,1296,49
MCS2025,Nickel,2022,17500,W,97000,Less than ½ unit.,127000,37300,15200,11100,44400,100000,97000,120000,210000,25815,11.71,23200,6,55
MCS2025,Nickel,2023,16400,W,90000,4,112000,39700,9100,12200,56800,110000,90000,100000,190000,21495,9.75,21600,1506,53
MCS2025,Nickel,2024,8000,W,92000,10,100000,40000,5000,17000,48000,110000,92000,84000,180000,17000,7.7,22000,400,48
