DataSource,Commodity,Year,USprod_Home_mmt,USprod_net_receipts_mmt,Imports_mmt,Exports_mmt,Consump_Reported_mmt,Consump_Apparent_mmt,Price_Num_1_heavy_dt,Stocks_mmt,Employment_Foundries_num,NIR_pct
MCS2025,Iron and Steel Scrap,2020,8.1,61,4.6,17,56,56,231.34,3.8,106000,E
MCS2025,Iron and Steel Scrap,2021,7.4,69,5.3,18,64,63,424.36,4.4,101000,E
MCS2025,Iron and Steel Scrap,2022,8.1,65,4.7,18,61,61,387.85,3.9,105000,E
MCS2025,Iron and Steel Scrap,2023,7.2,66,5.1,16,62,62,338.63,4.2,107000,E
MCS2025,Iron and Steel Scrap,2024,8.6,65,4.7,15,63,63,325.00,4.2,108000,E
