DataSource,Commodity,Year,USprod_Home_mmt,USprod_Purchased_mmt,Imports_mmt,Exports_mmt,Consump_Reported_mmt,Consump_Apparent_mmt,Price_dt,Stocks_mmt,Employment_num,NIR_pct
MCS2024,Iron and Steel Scrap,2019,5,55,4,18,47,48,249,3.9,26000,E
MCS2024,Iron and Steel Scrap,2020,5,50,5,15,45,45,228,4,24500,E
MCS2024,Iron and Steel Scrap,2021,5,59,5,20,48,48,419,4.4,26200,E
MCS2024,Iron and Steel Scrap,2022,5,59,5,20,48,48,379,4.6,26600,E
MCS2024,Iron and Steel Scrap,2023,5,58,5,18,48,50,313,4.3,26400,E
