DataSource,Commodity,Year,USprod_t,Imports_Celestite_t,Imports_Compounds_t,Exports_Compounds_t,Consump_Celestite_t,Consump_Compounds_t,Consump_Total_t,Price_dt,NIR_pct
MCS2024,Strontium,2019,0,7960,5560,20,7960,5540,13500,82,100
MCS2024,Strontium,2020,0,1060,4440,32,1060,4410,5470,90,100
MCS2024,Strontium,2021,0,106,5020,6,106,5010,5120,210,100
MCS2024,Strontium,2022,0,7200,5850,15,7200,5840,13000,114,100
MCS2024,Strontium,2023,0,1100,3700,79,1100,3600,4700,79,100
