DataSource,Commodity,Year,USprod_t,Imports_t,Exports_t,Consump_t,Price_Imports_dkg,Employment_num,NIR_pct,,,,,,,,,,,
MCS2024,Bromine,2019,W,56300,29300,W,2,1050,<25,,,,,,,,,,,
MCS2024,Bromine,2020,W,30700,36600,W,3,1050,E,,,,,,,,,,,
MCS2024,Bromine,2021,W,27200,27900,W,3,1050,E,,,,,,,,,,,
MCS2024,Bromine,2022,W,36500,19400,W,3,1050,<25,,,,,,,,,,,
MCS2024,Bromine,2023,W,51000,34000,W,3,1050,<25,,,,,,,,,,,
