DataSource,Commodity,Year,Bort_USprod_Manufactured_mct,Bort_USprod_Secondary_mct,Bort_Imports_mct,Bort_Exports_mct,Bort_Consump_mct,Bort_Price_Imports_mct,Bort_NIR_pct,Stones_USprod_Manufactured_mct,Stones_USprod_Secondary_mct,Stones_Imports_mct,Stones_Exports_mct,Stones_Consump_mct,Stones_Price_Imports_mct,Stones_NIR_pct,,,,
MCS2024,Diamond (Industrial),2019,114,35.6,306,114,342,0.14,56,0,0.10,1.07,Less than 500 carats.,1.17,5.82,91,,,,
MCS2024,Diamond (Industrial),2020,130,35.0,190,90.7,264,0.19,38,0,0.10,0.51,0.02,0.61,8.41,84,,,,
MCS2024,Diamond (Industrial),2021,132,1.2,261,99.1,295,0.18,55,0,0.08,0.33,0.00,0.41,13.00,81,,,,
MCS2024,Diamond (Industrial),2022,150,14.4,303,94.0,373,0.19,56,0,0.08,0.79,Less than 500 carats.,0.86,8.40,91,,,,
MCS2024,Diamond (Industrial),2023,150,14.0,280,72.0,370,0.16,56,0,0.08,0.40,Less than 500 carats.,0.48,14.00,84,,,,
