DataSource,Commodity,Year,USprod_Production_kt,USprod_Sold_used_kt,Imports_kt,Exports_kt,Consump_Apparent_kt,Consump_Reported_kt,Price_Vacuum_dt,Price_Solar_dt,Price_Rock_dt,Price_Brine_dt,Employment_num,NIR_pct
MCS2024,Salt,2019,44800,44900,18700,1020,62500,51800,212,126,59.9,7.56,4100,28
MCS2024,Salt,2020,42600,39600,15800,1250,54200,44000,212,123,61.71,8.36,4000,27
MCS2024,Salt,2021,39300,39800,17700,1010,56400,47100,204,154,59.88,8.14,4000,30
MCS2024,Salt,2022,41000,40000,17800,890,57000,47000,210,150,60,8.4,4100,30
MCS2024,Salt,2023,42000,41000,16000,2300,55000,48000,220,150,61,8.5,4100,25
