DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Price_dt,Employment_num,NIR_pct,
MCS2024,Pumice and Pumicite,2019,565,136,11,690,28,140,18,
MCS2024,Pumice and Pumicite,2020,578,90,8,660,31,140,12,
MCS2024,Pumice and Pumicite,2021,504,87,11,580,46,140,13,
MCS2024,Pumice and Pumicite,2022,295,102,14,383,65,140,23,
MCS2024,Pumice and Pumicite,2023,310,81,11,380,68,140,18,
