DataSource,Commodity,Year,USprod_Quantity_kt,USprod_Value_mdol,Imports_Value_mdol,Exports_Value_mdol,Consump_Value_mdol,Price_Average_mdol,Employment_um,NIR_ct,Granite_Quantity_kt,Granite_Prod_value_mdol,Granite_Imports_value_mdol,Granite_Exports_value_mdol,Granite_Consumtion_value_mdol,Granite_Price_mdol,Granite_Employment_num,Granite_NIR_pct
MCS2024,Stone (Dimension),2019,2510,415,1890,61,2250,"Variable, depending on type of product",3900,82,430,108,913,17,1000,"Variable, depending on type of product",800,89
MCS2024,Stone (Dimension),2020,2120,397,1750,48,2100,"Variable, depending on type of product",3800,81,436,105,859,13,951,"Variable, depending on type of product",800,89
MCS2024,Stone (Dimension),2021,2290,413,2200,50,2560,"Variable, depending on type of product",3700,84,445,108,900,12,996,"Variable, depending on type of product",800,89
MCS2024,Stone (Dimension),2022,2380,421,2320,54,2680,"Variable, depending on type of product",3800,84,491,102,902,13,991,"Variable, depending on type of product",800,90
MCS2024,Stone (Dimension),2023,2300,410,2600,50,3000,"Variable, depending on type of product",3700,86,450,130,880,13,1000,"Variable, depending on type of product",800,87
