DataSource,Commodity,Year,USprod_Al2O3_t,USprod_SiC_t,USprod_Met_Abras_t,Shipments_Met_Abras_t,Imports_Al2O3_t,Imports_SiC_t,Imports_Met_Abras_t,Exports_Al2O3_t,Exports_SiC_t,Exports_Met_Abras_t,Consump_Al2O3_t,Consump_SiC_t,Consump_Met_Abras_t,Price_Al2O3_dt,Price_Al2O3_HiPur_dt,Price_SiC_dt,Price_Met_Abras_dt,NIR_Al2O3_pct,NIR_SiC_pct,NIR_Met_Abras_pct
MCS2024,Abrasives (Manufactured),2019,10000,35000,177000,195000,184000,131000,27900,18400,11500,31200,166000,155000,192000,716,1250,701,1310,>95,77,E
MCS2024,Abrasives (Manufactured),2020,10000,35000,176000,194000,121000,88400,25800,11400,8310,18000,109000,115000,202000,666,1180,628,1130,>95,70,4
MCS2024,Abrasives (Manufactured),2021,10000,35000,176000,193000,159000,125000,26400,13500,12000,20100,146000,148000,199000,674,1290,587,1510,>95,76,3
MCS2024,Abrasives (Manufactured),2022,20000,40000,180000,199000,225000,165000,20100,14400,12000,23900,210000,193000,195000,797,1030,1080,2130,>95,79,E
MCS2024,Abrasives (Manufactured),2023,20000,40000,180000,210000,120000,120000,18000,10000,11000,22000,110000,150000,210000,670,1400,910,1900,>95,73,E
