comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore;107;kg;2604;;;;;;;comtrade;no
Nitrogen;21;kg;280430;;;;;;;comtrade;no
Olivine;308;kg;283990;;;;;;;comtrade;no
Oxygen;14;kg;280440;;;;;;;comtrade;no
Palladium, Pd 1.6E-6%, in mixed ore, in ground;612;kg;711021;;;;;;;comtrade;no
Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;334;kg;711021;;;;;;;comtrade;no
Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;380;kg;711021;;;;;;;comtrade;no
Peat;54;kg;2703;;;;;;;comtrade;no
Perlite;326;kg;253010;;;;;;;comtrade;no
Phosphorus, 18% in apatite, 4% in crude ore;120;kg;2510;;;;;;;comtrade;yes
Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;423;kg;261690;;;;;;;comtrade;yes
Platinum, Pt 4.7E-7%, in mixed ore, in ground;677;kg;261690;;;;;;;comtrade;yes
Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;293;kg;261690;;;;;;;comtrade;yes
Rhenium;737;kg;8112;;;RHERERE;;;;comtrade;no
Sand;133;kg;2505;;;;;;;comtrade;no
Shale;85;kg;271410;;;;;;;comtrade;no
Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In;207;kg;261610;;;;;;;comtrade;no
Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore;521;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore;539;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore;641;kg;261610;;;;;;;comtrade;no
Silver, Ag 1.8E-6%, in mixed ore, in ground;604;kg;261610;;;;;;;comtrade;no
Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore;417;kg;261610;;;;;;;comtrade;no
Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore;231;kg;261610;;;;;;;comtrade;no
Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore;399;kg;261610;;;;;;;comtrade;no
Silver, Ag 5.4E-3%, in mixed ore;412;kg;261610;;;;;;;comtrade;no
Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore;453;kg;261610;;;;;;;comtrade;no
Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;257;kg;261610;;;;;;;comtrade;no
Sodium chloride;20;kg;2501;;;;;;;comtrade;no
Sodium nitrate;588;kg;310250;;;;;;;comtrade;no
Sodium sulfate;135;kg;283311;;;;;;;comtrade;no
Spodumene;383;kg;282520;;;;;;;comtrade;no
Sulfur;31;kg;2503;;;;;;;comtrade;no
Talc;132;kg;2526;;;;;;;comtrade;no
TiO2, 54% in ilmenite, 18% in crude ore;109;kg;2614;;;;;;;comtrade;no
TiO2, 54% in ilmenite, 2.6% in crude ore;58;kg;2614;;;;;;;comtrade;no
TiO2, 95% in rutile, 0.40% in crude ore;102;kg;2614;;;;;;;comtrade;no
Ulexite;264;kg;2528;;;;;;;comtrade;no
Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore;100;kg;260800;;;;;;;comtrade;no
Zinc, Zn 3.1%, in mixed ore;167;kg;260800;;;;;;;comtrade;no
Zirconium;104;kg;261510;;;;;;;comtrade;no
Gold, Au 1.0E-7%, in mixed ore;;kg;261690;;;;;;;comtrade;no
Coal, hard, 30.7 MJ per kg;;kg;270111;;;;;;;comtrade;no
Nickel, 1.13% in sulfides, 0.76% in crude ore;;kg;2604;;;;;;;comtrade;no
Nickel, Ni 2.5E+0%, in mixed ore;;kg;2604;;;;;;;comtrade;no
Palladium, Pd 1.6E-6%, in mixed ore;;kg;711021;;;;;;;comtrade;yes
Platinum, Pt 4.7E-7%, in mixed ore;;kg;261690;;;;;;;comtrade;yes
Sand and clay;;kg;2505;;;;;;;comtrade;no
Silver, Ag 1.8E-6%, in mixed ore;;kg;261610;;;;;;;comtrade;no
Titanium ore;;kg;2614;;;;;;;comtrade;yes
Zinc ore;;kg;260800;;;;;;;comtrade;no
TiO2, 45-60% in Ilmenite;;kg;2614;;;;;;;comtrade;no
Titanium;;kg;2823;;;;;;;comtrade;yes
Energy, geothermal, converted;6;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, gross calorific value, in biomass;3;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, gross calorific value, in biomass, primary forest;7;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, kinetic (in wind), converted;5;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, potential (in hydropower reservoir), converted;2;MJ;;;;;;;nrg_pc_205;eurostat;no
Energy, solar, converted;8;MJ;;;;;;;nrg_pc_205;eurostat;no
Aluminium;25;kg;7601;;;LAHCASH;PALUM;ODA/PALUM_USD;;imf;no
Gas, natural/m3;463;m3;271121;;;;PNGASEU;ODA/PNGASEU_USD;;imf;no
Gold;327;kg;7108;;;;PGOLD;ODA/PGOLD_USD;;imf;no
Iron;12;kg;7207;;;SHJNG22;PIORECR;ODA/PIORECR_USD;;imf;no
Lead;46;kg;7801;;;LEDCASH;PLEAD;ODA/PLEAD_USD;;imf;no
Molybdenum;140;kg;8102;;;LMYCSHC;PLMMODY;ODA/PLMMODY_USD;;imf;no
Oil, crude;17;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Potassium chloride;83;kg;310420;;;;PPOTASH;ODA/PPOTASH_USD;;imf;no
Tin;134;kg;8001;;;LTICASH;PTIN;ODA/PTIN_USD;;imf;no
Uranium;186;kg;261210;;;UXCUSPT;PURAN;ODA/PURAN_USD;;imf;no
Zinc;36;kg;7901;;;LZZCASH;PZINC;ODA/PZINC_USD;;imf;no
Gas, natural, 35 MJ per m3;;m3;271121;;;;PNGASEU;ODA/PNGASEU_USD;;imf;no
Gas, natural, 36.6 MJ per m3;;m3;271121;;;;PNGASEU;ODA/PNGASEU_USD;;imf;no
Gas, natural, feedstock, 35 MJ per m3;;m3;271121;;;;PNGASEU;ODA/PNGASEU_USD;;imf;no
Oil, crude, 41 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Oil, crude, 42 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Oil, crude, 42.6 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Oil, crude, 42.7 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Oil, crude, feedstock, 41 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Oil, crude, feedstock, 42 MJ per kg;;kg;270900;;;;POILAPSP;ODA/POILAPSP_USD;;imf;no
Potassium;;kg;310420;;;;PPOTASH;ODA/PPOTASH_USD;;imf;no
Carbon dioxide, in air;19;kg;;;;EEXEUAS;;;;none;no
