"","source","code","comm","no_comm","um","critical","mean","min","max"
"49","comtrade","2607","Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore",105,"kg","no",1.59287437593019,1.27449157069722,2.25936771375046
"50","comtrade","260800","Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore",100,"kg","no",0.724465585447267,0.576058842126464,1.00351094827422
"51","comtrade","260800","Zinc, Zn 3.1%, in mixed ore",167,"kg","no",0.724465585447267,0.576058842126464,1.00351094827422
"52","comtrade","2613","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore",188,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"53","comtrade","2613","Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore",248,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"54","comtrade","2613","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore",175,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"55","comtrade","2613","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore",163,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"56","comtrade","2613","Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore",156,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"57","comtrade","2613","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore",170,"kg","no",11.0883041173079,7.1597217601259,16.8003329398491
"58","comtrade","2614","TiO2, 54% in ilmenite, 18% in crude ore",109,"kg","no",0.233354940838429,0.0104656039389052,0.28872735571635
"59","comtrade","2614","TiO2, 95% in rutile, 0.40% in crude ore",102,"kg","no",0.233354940838429,0.0104656039389052,0.28872735571635
"60","comtrade","2614","TiO2, 54% in ilmenite, 2.6% in crude ore",58,"kg","no",0.233354940838429,0.0104656039389052,0.28872735571635
"61","comtrade","261510","Zirconium",104,"kg","no",0.87560432527627,0.0351238264983734,1.11849995014742
"62","comtrade","261610","Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore",539,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"63","comtrade","261610","Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore",641,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"64","comtrade","261610","Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In",207,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"65","comtrade","261610","Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore",417,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"66","comtrade","261610","Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore",231,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"67","comtrade","261610","Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore",399,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"68","comtrade","261610","Silver, Ag 1.8E-6%, in mixed ore, in ground",604,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"69","comtrade","261610","Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore",453,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"70","comtrade","261610","Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",257,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"71","comtrade","261610","Silver, Ag 5.4E-3%, in mixed ore",412,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"72","comtrade","261610","Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore",521,"kg","no",5.93508535444686,4.02525273668376,11.8747917146674
"73","comtrade","261690","Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore",361,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"74","comtrade","261690","Gold, Au 1.8E-4%, in mixed ore",508,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"75","comtrade","261690","Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore",418,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"76","comtrade","261690","Gold, Au 4.3E-4%, in ore",378,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"77","comtrade","261690","Gold, Au 4.9E-5%, in ore",331,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"78","comtrade","261690","Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore",497,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"79","comtrade","261690","Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore",445,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"80","comtrade","261690","Gold, Au 1.0E-7%, in mixed ore, in ground",792,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"81","comtrade","261690","Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore",372,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"82","comtrade","261690","Platinum, Pt 4.7E-7%, in mixed ore, in ground",677,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"83","comtrade","261690","Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",293,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"84","comtrade","261690","Gold, Au 6.7E-4%, in ore",325,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"85","comtrade","261690","Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore",486,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"86","comtrade","261690","Gold, Au 7.1E-4%, in ore",353,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"87","comtrade","261690","Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",410,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
