DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Price_dt,Employment_num,NIR_pct,
MCS2025,Diatomite,2020,822,14,66,769,326,370,E,
MCS2025,Diatomite,2021,998,14,68,944,410,370,E,
MCS2025,Diatomite,2022,827,14,64,777,416,370,E,
MCS2025,Diatomite,2023,849,12,53,808,580,370,E,
MCS2025,Diatomite,2024,880,15,70,830,590,370,E,
