DataSource,Commodity,Year,USprod_Al2O3_t,USprod_SiC_t,USprod_Met_Abras_t,Shipments_Met_Abras_t,Imports_Al2O3_t,Imports_SiC_t,Imports_Met_Abras_t,Exports_Al2O3_t,Exports_SiC_t,Exports_Met_Abras_t,Consump_Al2O3_t,Consump_SiC_t,Consump_Met_Abras_t,Price_Al2O3_dt,Price_Al2O3_HiPur_dt,Price_SiC_dt,Price_Met_Abras_dt,NIR_Al2O3_pct,NIR_SiC_pct,NIR_Met_Abras_pct
MCS2025,Abrasives (Manufactured),2020,10000,35000,176000,194000,121000,88400,25800,11400,8310,18000,109000,115000,202000,666,1180,628,1130,>95,70,4
MCS2025,Abrasives (Manufactured),2021,10000,35000,176000,193000,159000,125000,26400,13500,12000,20100,146000,148000,199000,674,1290,587,1510,>95,76,3
MCS2025,Abrasives (Manufactured),2022,20000,40000,180000,199000,225000,165000,20100,14400,12000,23900,210000,193000,195000,797,1560,1080,2130,>95,79,E
MCS2025,Abrasives (Manufactured),2023,25000,45000,198000,227000,120000,114000,17800,9540,10100,24100,110000,149000,220000,655,1380,905,1850,>95,70,E
MCS2025,Abrasives (Manufactured),2024,25000,45000,200000,230000,120000,110000,17000,9400,11000,20000,110000,140000,230000,620,1500,770,2000,>95,69,E
